,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
107,male,group E,associate's degree,standard,completed,66,63,64
80,female,group B,associate's degree,standard,none,47,49,50
43,male,group B,some college,free/reduced,completed,59,65,66
774,male,group B,some college,standard,none,66,65,60
481,female,group D,associate's degree,free/reduced,none,52,59,56
942,male,group C,high school,standard,none,81,66,64
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
299,male,group D,associate's degree,free/reduced,none,90,87,75
649,female,group D,some college,standard,completed,69,79,81
407,female,group B,associate's degree,standard,none,82,80,77
248,female,group B,high school,standard,none,65,64,62
154,male,group D,some high school,standard,none,62,67,61
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
954,female,group C,some college,standard,none,62,69,69
327,male,group A,some college,free/reduced,none,28,23,19
158,female,group B,associate's degree,standard,completed,61,86,87
607,female,group C,master's degree,free/reduced,none,40,58,54
912,female,group C,bachelor's degree,standard,completed,52,61,66
964,male,group D,some college,standard,none,72,57,58
184,male,group C,some high school,free/reduced,completed,45,52,49
968,female,group E,associate's degree,standard,none,68,76,67
685,female,group E,master's degree,standard,completed,94,99,100
368,female,group A,some high school,free/reduced,none,44,64,58
222,female,group C,some high school,free/reduced,none,55,65,62
765,female,group B,high school,standard,none,74,72,72
378,female,group A,some high school,standard,none,71,83,77
700,female,group E,bachelor's degree,standard,completed,79,81,82
77,male,group A,bachelor's degree,standard,completed,80,78,81
780,female,group D,associate's degree,free/reduced,none,46,56,57
329,female,group B,some high school,standard,none,41,55,51
362,female,group C,some college,standard,none,52,58,58
790,female,group B,high school,standard,none,48,62,60
753,female,group C,some high school,standard,completed,77,90,85
46,female,group A,associate's degree,standard,completed,55,65,62
225,female,group E,master's degree,free/reduced,none,45,56,54
201,female,group D,some college,free/reduced,none,65,81,77
591,male,group A,some high school,standard,none,71,62,50
663,female,group C,high school,standard,none,65,69,67
162,male,group B,master's degree,free/reduced,none,49,53,52
811,male,group A,high school,free/reduced,none,45,47,49
161,female,group E,some college,free/reduced,completed,75,88,85
23,female,group C,some high school,standard,none,69,73,73
976,male,group B,some college,free/reduced,completed,60,62,60
300,male,group A,some college,free/reduced,completed,81,78,81
794,female,group B,high school,standard,none,42,52,51
788,male,group C,associate's degree,free/reduced,none,68,65,61
837,female,group A,high school,standard,completed,75,82,79
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
882,female,group B,high school,free/reduced,none,64,73,71
946,male,group B,high school,standard,none,82,82,80
660,male,group C,some college,free/reduced,none,74,77,73
670,female,group C,high school,free/reduced,none,66,76,68
861,female,group E,master's degree,free/reduced,none,81,86,87
33,male,group D,some college,standard,none,40,42,38
818,female,group B,high school,free/reduced,none,60,72,68
436,male,group D,associate's degree,standard,none,75,68,64
81,male,group B,high school,free/reduced,none,49,45,45
355,female,group B,bachelor's degree,standard,none,61,72,70
732,female,group C,some college,standard,completed,87,89,94
508,male,group C,master's degree,standard,none,79,78,77
802,female,group E,associate's degree,standard,none,87,94,95
554,male,group E,associate's degree,standard,none,53,45,40
51,male,group E,associate's degree,free/reduced,completed,77,69,68
866,male,group C,high school,free/reduced,none,59,53,52
86,female,group C,some college,free/reduced,none,76,83,88
408,female,group D,high school,free/reduced,completed,52,57,56
618,male,group D,master's degree,standard,none,95,81,84
469,male,group C,some college,standard,none,91,74,76
887,male,group C,high school,free/reduced,none,54,72,59
197,male,group E,high school,free/reduced,none,55,56,51
963,female,group C,some high school,free/reduced,completed,65,76,75
886,female,group E,associate's degree,standard,completed,93,100,95
457,male,group D,associate's degree,free/reduced,none,53,54,48
200,female,group C,associate's degree,standard,completed,67,84,86
737,female,group B,some college,free/reduced,completed,53,66,73
472,female,group C,associate's degree,standard,completed,68,86,84
635,male,group A,high school,standard,none,71,74,64
424,male,group B,some college,free/reduced,none,41,39,34
918,female,group C,associate's degree,standard,completed,57,77,80
281,male,group D,high school,standard,none,45,48,46
274,male,group B,some college,standard,completed,88,85,76
603,male,group D,high school,free/reduced,none,60,57,51
164,female,group E,master's degree,standard,none,81,92,91
151,male,group A,bachelor's degree,standard,none,77,67,68
156,female,group E,high school,free/reduced,completed,66,74,78
484,female,group B,associate's degree,standard,none,49,52,54
280,male,group D,high school,standard,none,53,52,42
341,female,group C,high school,standard,none,61,73,63
724,male,group B,some college,standard,none,47,43,41
793,male,group E,some high school,standard,completed,89,84,77
87,female,group D,associate's degree,standard,none,71,71,74
171,male,group E,some high school,standard,none,94,88,78
997,female,group C,high school,free/reduced,completed,59,71,65
364,male,group C,some college,standard,none,59,60,58
838,male,group B,associate's degree,free/reduced,completed,58,57,53
686,male,group E,some college,standard,completed,85,75,68
516,female,group D,some college,standard,none,74,89,84
585,female,group C,associate's degree,standard,none,65,76,76
923,female,group B,associate's degree,free/reduced,none,54,65,65
704,female,group B,some high school,free/reduced,completed,59,63,64
776,female,group B,high school,standard,none,66,72,70
781,female,group B,master's degree,standard,none,77,90,84
5,female,group B,associate's degree,standard,none,71,83,78
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
721,male,group D,some high school,free/reduced,completed,55,59,59
799,female,group C,associate's degree,standard,none,52,55,57
443,female,group B,associate's degree,standard,none,73,83,76
412,male,group D,associate's degree,standard,none,71,66,60
487,female,group C,associate's degree,free/reduced,none,60,75,74
911,female,group A,some college,standard,none,69,84,82
575,male,group A,associate's degree,free/reduced,completed,40,55,53
718,female,group C,high school,standard,none,76,76,74
108,female,group B,associate's degree,free/reduced,none,52,76,70
272,female,group D,associate's degree,free/reduced,none,47,53,58
656,male,group C,associate's degree,free/reduced,none,77,67,64
198,female,group B,some college,free/reduced,none,45,53,55
561,female,group C,some college,standard,none,63,74,74
810,male,group A,some high school,standard,none,51,31,36
929,female,group C,some high school,free/reduced,none,48,56,51
213,male,group C,associate's degree,free/reduced,completed,60,51,56
894,female,group E,associate's degree,standard,none,59,62,69
467,male,group A,high school,free/reduced,completed,72,67,65
40,male,group C,associate's degree,free/reduced,none,55,61,54
499,male,group E,some college,standard,none,76,71,72
85,female,group C,some college,standard,none,73,80,82
83,male,group E,associate's degree,standard,none,72,64,63
526,male,group C,some high school,free/reduced,completed,56,61,60
853,male,group E,some high school,standard,none,82,67,61
292,male,group C,some high school,standard,completed,63,60,57
343,male,group D,associate's degree,standard,completed,67,72,67
684,male,group B,some college,standard,completed,62,66,68
381,male,group C,associate's degree,standard,completed,87,100,95
262,female,group C,some high school,free/reduced,none,44,50,51
992,female,group D,associate's degree,free/reduced,none,55,76,76
792,male,group D,high school,free/reduced,none,66,74,69
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
891,female,group E,associate's degree,standard,none,85,92,85
387,female,group C,associate's degree,free/reduced,none,57,78,67
791,female,group D,some college,free/reduced,none,60,66,70
146,male,group B,some high school,standard,none,88,84,75
52,male,group C,some college,standard,none,53,44,42
106,female,group D,master's degree,standard,none,87,100,100
430,male,group C,associate's degree,free/reduced,none,64,66,59
819,female,group C,some high school,standard,none,77,91,88
630,male,group D,some college,standard,none,67,64,70
99,female,group D,bachelor's degree,standard,none,65,67,62
573,female,group C,high school,free/reduced,completed,50,66,64
7,male,group B,some college,free/reduced,none,40,43,39
698,female,group D,associate's degree,standard,completed,57,78,79
795,female,group E,associate's degree,free/reduced,completed,57,68,73
842,female,group B,high school,free/reduced,completed,23,44,36
232,female,group B,bachelor's degree,standard,none,67,86,83
533,female,group E,associate's degree,standard,completed,79,88,94
725,male,group E,some college,standard,completed,81,74,71
693,female,group D,associate's degree,standard,none,77,77,73
410,female,group D,master's degree,standard,completed,70,71,74
762,male,group D,some high school,standard,completed,78,81,86
118,female,group D,some high school,standard,none,51,63,61
496,female,group C,some college,standard,none,54,48,52
413,male,group B,some high school,standard,completed,63,67,67
921,female,group C,high school,free/reduced,none,35,53,46
491,female,group C,associate's degree,standard,none,64,64,70
169,female,group C,some college,free/reduced,completed,67,75,70
957,female,group D,master's degree,standard,none,92,100,100
259,female,group C,master's degree,free/reduced,completed,65,81,81
928,male,group E,associate's degree,free/reduced,completed,46,43,44
181,female,group C,some college,free/reduced,none,46,64,66
616,female,group E,bachelor's degree,standard,none,37,45,38
303,male,group B,associate's degree,standard,none,80,76,64
84,male,group D,high school,free/reduced,none,42,39,34
829,male,group B,some high school,standard,none,68,54,53
135,male,group C,bachelor's degree,standard,none,58,55,48
958,female,group D,high school,standard,none,45,63,59
540,male,group C,high school,standard,completed,75,69,68
376,female,group D,some high school,standard,none,80,90,82
948,male,group B,some high school,free/reduced,completed,49,50,52
304,female,group C,associate's degree,standard,completed,74,75,83
930,male,group C,some college,free/reduced,completed,67,74,70
73,male,group C,some high school,free/reduced,none,61,57,56
880,male,group C,bachelor's degree,standard,completed,63,64,66
316,female,group D,master's degree,standard,completed,77,82,91
714,female,group B,some high school,standard,completed,60,70,74
32,female,group E,master's degree,free/reduced,none,56,72,65
687,male,group D,associate's degree,free/reduced,none,77,78,73
764,male,group D,some college,standard,none,60,63,59
728,female,group D,high school,free/reduced,none,73,92,84
716,male,group C,associate's degree,standard,completed,73,78,72
971,male,group C,some high school,standard,completed,78,72,69
240,male,group D,high school,free/reduced,completed,73,68,66
804,female,group C,some college,standard,none,73,76,78
132,male,group E,some college,free/reduced,completed,87,74,70
885,female,group C,associate's degree,standard,completed,62,76,80
227,male,group D,high school,standard,none,57,50,54
706,male,group D,high school,standard,none,46,34,36
843,male,group B,some college,free/reduced,completed,74,77,76
546,female,group A,some high school,standard,completed,92,100,97
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
449,male,group B,associate's degree,standard,none,81,73,72
89,female,group D,some high school,standard,none,73,86,82
459,male,group B,high school,standard,completed,72,65,68
379,male,group A,bachelor's degree,standard,none,66,64,62
434,male,group C,some high school,standard,none,73,66,66
895,female,group E,some high school,free/reduced,none,32,34,38
803,female,group B,some college,standard,none,82,85,87
998,female,group D,some college,standard,completed,68,78,77
855,female,group B,bachelor's degree,standard,none,97,97,96
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
878,female,group D,some high school,standard,none,59,72,80
962,female,group E,associate's degree,standard,none,100,100,100
859,male,group C,associate's degree,free/reduced,none,87,73,72
187,male,group D,some high school,standard,completed,62,66,68
657,male,group D,some high school,standard,none,69,66,61
307,male,group C,some high school,standard,none,51,52,44
16,male,group C,high school,standard,none,88,89,86
58,male,group D,some college,standard,completed,58,59,58
277,female,group E,high school,standard,completed,59,63,75
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
255,female,group E,some college,standard,none,62,73,70
320,female,group C,high school,free/reduced,completed,67,79,84
836,male,group E,high school,standard,none,73,64,57
